,Game,reviews,release date,developer,genre,Price,Owners
47,Portal 2, 98% ,2011-04-18,Valve,"Action,Adventure",9.99,"10,000,000 - 20,000,000"
48,Oxygen Not Included, 93% ,2017-05-18,Klei Entertainment,"Indie,Simulation,Early Access",24.99,"1,000,000 - 2,000,000"
49,BeamNG.drive, 89% ,2015-05-29,BeamNG,"Racing,Simulation,Early Access",24.99,"2,000,000 - 5,000,000"
50,DCS World Steam Edition, 76% ,2013-03-18,Eagle Dynamics SA,"Free to Play,Simulation",0.0,"2,000,000 - 5,000,000"
51,Forager, 87% ,2019-04-18,HopFrog,"Action,Adventure,Indie,Simulation",19.99,"500,000 - 1,000,000"
52,Albion Online, 54% ,2017-07-17,Sandbox Interactive GmbH,"Free to Play,Massively Multiplayer,RPG",0.0,"1,000,000 - 2,000,000"
53,Car Mechanic Simulator 2018, 76% ,2017-07-28,Red Dot Games,"Racing,Simulation",19.99,"1,000,000 - 2,000,000"
54,Pavlov VR, 89% ,2017-02-27,davevillz,"Action,Indie,Early Access",9.99,"1,000,000 - 2,000,000"
55,Left 4 Dead 2, 96% ,2009-11-16,Valve,Action,9.99,"20,000,000 - 50,000,000"
56,Yu-Gi-Oh! Duel Links, 75% ,2017-11-16,Konami Digital Entertainment,"Free to Play,Strategy",0.0,"2,000,000 - 5,000,000"
57,Wreckfest, 77% ,2018-06-14,Bugbear,"Action,Indie,Racing,Simulation,Sports",44.99,"1,000,000 - 2,000,000"
58,Conqueror's Blade, 46% ,2019-05-30,Booming Games,"Action,Free to Play,Massively Multiplayer,Strategy",0.0,"2,000,000 - 5,000,000"
59,Kenshi, 88% ,2018-12-06,Lo-Fi Games,"Action,Indie,RPG,Simulation,Strategy",29.99,"1,000,000 - 2,000,000"
60,Crossout, 66% ,2017-07-26,Targem Games,"Action,Free to Play,Massively Multiplayer,Racing",0.0,"2,000,000 - 5,000,000"
61,Subnautica, 94% ,2018-01-23,Unknown Worlds Entertainment,"Adventure,Indie",24.99,"2,000,000 - 5,000,000"
