,Game,reviews,release date,developer,genre,Price,Owners
210,Shank 2, 81% ,2012-02-07,Klei Entertainment,"Action,Adventure,Indie",9.99,"200,000 - 500,000"
211,SCP: Secret Laboratory, 84% ,2017-12-29,Northwood Studios,"Action,Free to Play",0.0,"5,000,000 - 10,000,000"
212,VRChat, 88% ,2017-02-01,VRChat Inc.,"Adventure,Casual,Free to Play,Massively Multiplayer,Simulation,Sports,Early Access",0.0,"2,000,000 - 5,000,000"
213,Aim Lab, 81% ,2018-02-07,Statespace,"Action,Adventure,Casual,Free to Play,Indie,Simulation,Early Access",0.0,"2,000,000 - 5,000,000"
214,Alien Swarm: Reactive Drop, 93% ,2017-04-20,Reactive Drop Team,"Action,Free to Play",0.0,"2,000,000 - 5,000,000"
215,Fuse, 61% ,2013-11-06,Mixamo,"Animation & Modeling,Design & Illustration,Utilities,Video Production",0.0,"200,000 - 500,000"
216,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest, 77% ,2018-05-03,Veslo Games,"Action,Adventure,Indie,Simulation",453.42,"0 - 20,000"
217,The Madness of Little Emma, 78% ,2015-12-21,Bartosz Bojarowski,"Action,Indie",8.99,"20,000 - 50,000"
218,Dead6hot, 45% ,2016-02-01,Chuck Productions,"Action,Casual",0.99,"200,000 - 500,000"
219,Ninja Stealth 2, 53% ,2017-01-30,SC Jogos,"Action,Adventure,Indie,Strategy",11.92,"50,000 - 100,000"
222,Botology, 29% ,2015-06-24,Black Lime Studio,"Action,Indie",0.99,"50,000 - 100,000"
