Game,Owners,Price,_id,developer,genre,release date,reviews
Pummel Party,"2,000,000 - 5,000,000",14.99,60c187a2e67d88c2e62da572,Rebuilt Games,"Action,Casual,Indie",2018-09-20T00:00:00.000Z, 82% 
The Isle,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da573,Afterthought LLC,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access",2015-12-01T00:00:00.000Z, 69% 
"Hot Dogs, Horseshoes & Hand Grenades","500,000 - 1,000,000",19.99,60c187a2e67d88c2e62da574,RUST LTD.,"Action,Indie,Simulation,Early Access",2016-04-05T00:00:00.000Z, 96% 
Project CARS 2,"1,000,000 - 2,000,000",59.99,60c187a2e67d88c2e62da575,Slightly Mad Studios,Racing,2017-09-21T00:00:00.000Z, 71% 
Euro Truck Simulator 2,"5,000,000 - 10,000,000",19.99,60c187a2e67d88c2e62da576,SCS Software,"Indie,Simulation",2012-10-12T00:00:00.000Z, 96% 
Killing Floor 2,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da577,Tripwire Interactive,Action,2016-11-18T00:00:00.000Z, 89% 
Slime Rancher,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da578,Monomi Park,"Action,Adventure,Indie,Simulation",2017-08-01T00:00:00.000Z, 96% 
Rising Storm 2: Vietnam,"1,000,000 - 2,000,000",24.99,60c187a2e67d88c2e62da579,"Antimatter Games,Tripwire Interactive","Action,Massively Multiplayer,Simulation,Strategy",2017-05-30T00:00:00.000Z, 80% 
The Binding of Isaac: Rebirth,"2,000,000 - 5,000,000",14.99,60c187a2e67d88c2e62da57a,"Nicalis, Inc.",Action,2014-11-04T00:00:00.000Z, 97% 
ASTRONEER,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da57b,System Era Softworks,"Adventure,Indie",2016-12-16T00:00:00.000Z, 84% 
Elite Dangerous,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da57c,Frontier Developments,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",2015-04-02T00:00:00.000Z, 68% 
Portal 2,"10,000,000 - 20,000,000",9.99,60c187a2e67d88c2e62da57d,Valve,"Action,Adventure",2011-04-18T00:00:00.000Z, 98% 
Oxygen Not Included,"1,000,000 - 2,000,000",24.99,60c187a2e67d88c2e62da57e,Klei Entertainment,"Indie,Simulation,Early Access",2017-05-18T00:00:00.000Z, 93% 
BeamNG.drive,"2,000,000 - 5,000,000",24.99,60c187a2e67d88c2e62da57f,BeamNG,"Racing,Simulation,Early Access",2015-05-29T00:00:00.000Z, 89% 
DCS World Steam Edition,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da580,Eagle Dynamics SA,"Free to Play,Simulation",2013-03-18T00:00:00.000Z, 76% 
Forager,"500,000 - 1,000,000",19.99,60c187a2e67d88c2e62da581,HopFrog,"Action,Adventure,Indie,Simulation",2019-04-18T00:00:00.000Z, 87% 
Albion Online,"1,000,000 - 2,000,000",0,60c187a2e67d88c2e62da582,Sandbox Interactive GmbH,"Free to Play,Massively Multiplayer,RPG",2017-07-17T00:00:00.000Z, 54% 
Car Mechanic Simulator 2018,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da583,Red Dot Games,"Racing,Simulation",2017-07-28T00:00:00.000Z, 76% 
Pavlov VR,"1,000,000 - 2,000,000",9.99,60c187a2e67d88c2e62da584,davevillz,"Action,Indie,Early Access",2017-02-27T00:00:00.000Z, 89% 
Left 4 Dead 2,"20,000,000 - 50,000,000",9.99,60c187a2e67d88c2e62da585,Valve,Action,2009-11-16T00:00:00.000Z, 96% 
Yu-Gi-Oh! Duel Links,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da586,Konami Digital Entertainment,"Free to Play,Strategy",2017-11-16T00:00:00.000Z, 75% 
Wreckfest,"1,000,000 - 2,000,000",44.99,60c187a2e67d88c2e62da587,Bugbear,"Action,Indie,Racing,Simulation,Sports",2018-06-14T00:00:00.000Z, 77% 
"Conqueror's Blade","2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da588,Booming Games,"Action,Free to Play,Massively Multiplayer,Strategy",2019-05-30T00:00:00.000Z, 46% 
Kenshi,"1,000,000 - 2,000,000",29.99,60c187a2e67d88c2e62da589,Lo-Fi Games,"Action,Indie,RPG,Simulation,Strategy",2018-12-06T00:00:00.000Z, 88% 
Crossout,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da58a,Targem Games,"Action,Free to Play,Massively Multiplayer,Racing",2017-07-26T00:00:00.000Z, 66% 
Subnautica,"2,000,000 - 5,000,000",24.99,60c187a2e67d88c2e62da58b,Unknown Worlds Entertainment,"Adventure,Indie",2018-01-23T00:00:00.000Z, 94% 
Wallpaper Engine,"10,000,000 - 20,000,000",3.99,60c187a2e67d88c2e62da58c,Kristjan Skutta,"Animation & Modeling,Design & Illustration,Utilities",2018-11-16T00:00:00.000Z, 96% 
Subnautica: Below Zero,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da58d,Unknown Worlds Entertainment,"Adventure,Indie,Early Access",2019-01-30T00:00:00.000Z, 89% 
7 Days to Die,"5,000,000 - 10,000,000",24.99,60c187a2e67d88c2e62da58e,The Fun Pimps,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",2013-12-13T00:00:00.000Z, 77% 
Fallout: New Vegas,"500,000 - 1,000,000",9.99,60c187a2e67d88c2e62da58f,Obsidian Entertainment,"Action,RPG",2010-10-19T00:00:00.000Z, 95% 
Surviving Mars,"1,000,000 - 2,000,000",29.99,60c187a2e67d88c2e62da590,Haemimont Games,"Simulation,Strategy",2018-03-15T00:00:00.000Z, 71% 
Europa Universalis IV,"2,000,000 - 5,000,000",39.99,60c187a2e67d88c2e62da591,Paradox Development Studio,"Simulation,Strategy",2013-08-13T00:00:00.000Z, 82% 
Slay the Spire,"2,000,000 - 5,000,000",24.99,60c187a2e67d88c2e62da592,Mega Crit Games,"Indie,Strategy",2019-01-23T00:00:00.000Z, 96% 
PAYDAY 2,"10,000,000 - 20,000,000",9.99,60c187a2e67d88c2e62da593,OVERKILL - a Starbreeze Studio.,"Action,RPG",2013-08-13T00:00:00.000Z, 84% 
Insurgency: Sandstorm,"1,000,000 - 2,000,000",29.99,60c187a2e67d88c2e62da594,New World Interactive,Action,2018-12-12T00:00:00.000Z, 75% 
Deep Rock Galactic,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da595,Ghost Ship Games,"Action,Indie,Early Access",2018-02-28T00:00:00.000Z, 93% 
"No Man's Sky","5,000,000 - 10,000,000",59.99,60c187a2e67d88c2e62da596,Hello Games,"Action,Adventure",2016-08-12T00:00:00.000Z, 51% 
Tabletop Simulator,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da597,Berserk Games,"Casual,Indie,RPG,Simulation,Strategy",2015-06-05T00:00:00.000Z, 93% 
Space Engineers,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da598,Keen Software House,"Action,Indie,Simulation,Strategy",2019-02-28T00:00:00.000Z, 87% 
Blade and Sorcery,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da599,WarpFrog,"Action,Adventure,Indie,RPG,Simulation,Early Access",2018-12-11T00:00:00.000Z, 87% 
Raft,"5,000,000 - 10,000,000",19.99,60c187a2e67d88c2e62da59a,Redbeet Interactive,"Adventure,Indie,Simulation,Early Access",2018-05-23T00:00:00.000Z, 78% 
Factorio,"2,000,000 - 5,000,000",30,60c187a2e67d88c2e62da59b,Wube Software LTD.,"Casual,Indie,Simulation,Strategy,Early Access",2016-02-25T00:00:00.000Z, 98% 
Total War: WARHAMMER,"2,000,000 - 5,000,000",59.99,60c187a2e67d88c2e62da59c,"CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)","Action,Strategy",2016-05-24T00:00:00.000Z, 75% 
"Garry's Mod","20,000,000 - 50,000,000",9.99,60c187a2e67d88c2e62da59d,Facepunch Studios,"Indie,Simulation",2006-11-29T00:00:00.000Z, 95% 
Brawlhalla,"20,000,000 - 50,000,000",0,60c187a2e67d88c2e62da59e,Blue Mammoth Games,"Action,Free to Play,Indie",2017-10-17T00:00:00.000Z, 83% 
World of Warships,"5,000,000 - 10,000,000",0,60c187a2e67d88c2e62da59f,Wargaming Group Limited,"Action,Free to Play,Massively Multiplayer,Simulation",2017-11-15T00:00:00.000Z, 71% 
Coming Out on Top,"50,000 - 100,000",14.99,60c187a2e67d88c2e62da5a0,Obscurasoft,"Casual,Indie,Simulation",2014-12-10T00:00:00.000Z, 94% 
"Don't Starve Together","10,000,000 - 20,000,000",14.99,60c187a2e67d88c2e62da5a1,Klei Entertainment,"Adventure,Indie,Simulation",2016-04-21T00:00:00.000Z, 96% 
Crusader Kings II,"2,000,000 - 5,000,000",39.99,60c187a2e67d88c2e62da5a2,Paradox Development Studio,"RPG,Simulation,Strategy",2012-02-14T00:00:00.000Z, 90% 
Conan Exiles,"1,000,000 - 2,000,000",39.99,60c187a2e67d88c2e62da5a3,Funcom,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",2018-05-08T00:00:00.000Z, 69% 
Barotrauma,"500,000 - 1,000,000",29.99,60c187a2e67d88c2e62da5a4,"FakeFish,Undertow Games","Action,Indie,Simulation,Strategy,Early Access",2019-06-05T00:00:00.000Z, 76% 
Kingdom Come: Deliverance,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da5a5,Warhorse Studios,"Action,Adventure,RPG",2018-02-13T00:00:00.000Z, 74% 
The Forest,"5,000,000 - 10,000,000",19.99,60c187a2e67d88c2e62da5a6,Endnight Games Ltd,"Action,Adventure,Indie,Simulation",2018-04-30T00:00:00.000Z, 92% 
Overcooked! 2,"1,000,000 - 2,000,000",24.99,60c187a2e67d88c2e62da5a7,"Ghost Town Games Ltd.,Team17 Digital Ltd","Action,Casual,Indie",2018-08-07T00:00:00.000Z, 81% 
Warhammer: Vermintide 2,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da5a8,Fatshark,Action,2018-03-08T00:00:00.000Z, 75% 
Mortal Kombat 11,"1,000,000 - 2,000,000",59.99,60c187a2e67d88c2e62da5a9,"NetherRealm Studios,QLOC,Shiver",Action,2019-04-23T00:00:00.000Z, 59% 
Squad,"1,000,000 - 2,000,000",39.99,60c187a2e67d88c2e62da5aa,Offworld Industries,"Action,Indie,Strategy,Early Access",2015-12-14T00:00:00.000Z, 83% 
Terraria,"20,000,000 - 50,000,000",9.99,60c187a2e67d88c2e62da5ab,Re-Logic,"Action,Adventure,Indie,RPG",2011-05-16T00:00:00.000Z, 96% 
Kerbal Space Program,"2,000,000 - 5,000,000",39.99,60c187a2e67d88c2e62da5ac,Squad,"Indie,Simulation",2015-04-27T00:00:00.000Z, 90% 
Hearts of Iron IV,"2,000,000 - 5,000,000",39.99,60c187a2e67d88c2e62da5ad,Paradox Development Studio,"Simulation,Strategy",2016-06-06T00:00:00.000Z, 86% 
RimWorld,"2,000,000 - 5,000,000",34.99,60c187a2e67d88c2e62da5ae,Ludeon Studios,"Indie,Simulation,Strategy",2018-10-17T00:00:00.000Z, 97% 
Stardew Valley,"5,000,000 - 10,000,000",14.99,60c187a2e67d88c2e62da5af,ConcernedApe,"Indie,RPG,Simulation",2016-02-26T00:00:00.000Z, 96% 
ARK: Survival Evolved,"5,000,000 - 10,000,000",49.99,60c187a2e67d88c2e62da5b0,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC","Action,Adventure,Indie,Massively Multiplayer,RPG",2017-08-27T00:00:00.000Z, 69% 
Arma 3,"5,000,000 - 10,000,000",57.98,60c187a2e67d88c2e62da5b1,Bohemia Interactive,"Action,Simulation,Strategy",2013-09-12T00:00:00.000Z, 89% 
Divinity: Original Sin 2 - Definitive Edition,"5,000,000 - 10,000,000",44.99,60c187a2e67d88c2e62da5b2,Larian Studios,"Adventure,RPG,Strategy",2017-09-14T00:00:00.000Z, 94% 
Risk of Rain 2,"5,000,000 - 10,000,000",19.99,60c187a2e67d88c2e62da5b3,Hopoo Games,"Action,Indie,Early Access",2019-03-28T00:00:00.000Z, 94% 
Team Fortress 2,"50,000,000 - 100,000,000",0,60c187a2e67d88c2e62da5b4,Valve,"Action,Free to Play",2007-10-10T00:00:00.000Z, 93% 
Beat Saber,"2,000,000 - 5,000,000",29.99,60c187a2e67d88c2e62da5b5,Beat Games,Indie,2019-05-21T00:00:00.000Z, 93% 
War Thunder,"20,000,000 - 50,000,000",0,60c187a2e67d88c2e62da5b6,Gaijin Entertainment,"Action,Free to Play,Massively Multiplayer,Simulation",2013-08-15T00:00:00.000Z, 78% 
Dead by Daylight,"10,000,000 - 20,000,000",19.99,60c187a2e67d88c2e62da5b7,Behaviour Digital Inc.,Action,2016-06-14T00:00:00.000Z, 76% 
Dying Light,"5,000,000 - 10,000,000",39.99,60c187a2e67d88c2e62da5b8,Techland,"Action,RPG",2015-01-26T00:00:00.000Z, 92% 
Borderlands: The Pre-Sequel,"2,000,000 - 5,000,000",39.99,60c187a2e67d88c2e62da5b9,"2K Australia,Gearbox Software,Aspyr (Mac),Aspyr (Linux)","Action,RPG",2014-10-14T00:00:00.000Z, 80% 
Cities: Skylines,"5,000,000 - 10,000,000",29.99,60c187a2e67d88c2e62da5ba,Colossal Order Ltd.,"Simulation,Strategy",2015-03-10T00:00:00.000Z, 91% 
