Game,Owners,Price,_id,developer,genre,release date,reviews
Green Hell,"500,000 - 1,000,000",19.99,60c187a2e67d88c2e62da5e6,Creepy Jar,"Indie,Simulation,Early Access",2018-08-29T00:00:00.000Z, 83% 
Fallout Shelter,"5,000,000 - 10,000,000",0,60c187a2e67d88c2e62da5e7,Bethesda Game Studios,"Free to Play,RPG,Simulation",2017-03-29T00:00:00.000Z, 85% 
Plague Inc: Evolved,"2,000,000 - 5,000,000",14.99,60c187a2e67d88c2e62da5e8,Ndemic Creations,"Casual,Indie,Simulation,Strategy",2016-02-18T00:00:00.000Z, 93% 
Grand Theft Auto: San Andreas,"5,000,000 - 10,000,000",14.99,60c187a2e67d88c2e62da5e9,Rockstar Games,Action,2005-06-06T00:00:00.000Z, 88% 
Dead Cells,"2,000,000 - 5,000,000",24.99,60c187a2e67d88c2e62da5ea,Motion Twin,"Action,Indie",2018-08-06T00:00:00.000Z, 94% 
Dungeon Defenders II,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da5eb,Trendy Entertainment,"Action,Free to Play,Indie,RPG,Strategy",2017-06-20T00:00:00.000Z, 73% 
Among Us,"20,000,000 - 50,000,000",4.99,60c187a2e67d88c2e62da5ec,Innersloth,Casual,2018-11-16T00:00:00.000Z, 84% 
Tales of Zestiria,"500,000 - 1,000,000",49.99,60c187a2e67d88c2e62da5ed,BANDAI NAMCO Studio Inc.,RPG,2015-10-19T00:00:00.000Z, 84% 
Fallout 2: A Post Nuclear Role Playing Game,"500,000 - 1,000,000",9.99,60c187a2e67d88c2e62da5ee,Black Isle Studios,RPG,1998-12-01T00:00:00.000Z, 93% 
Revelation Online,"200,000 - 500,000",0,60c187a2e67d88c2e62da5ef,Netease Games,"Free to Play,Massively Multiplayer,RPG",2017-02-27T00:00:00.000Z, 49% 
Bloons TD 5,"200,000 - 500,000",9.99,60c187a2e67d88c2e62da5f0,Ninja Kiwi,"Action,Strategy",2014-11-19T00:00:00.000Z, 91% 
SpeedRunners,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da5f1,DoubleDutch Games,"Action,Casual,Indie,Racing,Sports",2016-04-19T00:00:00.000Z, 93% 
Nova Drift,"200,000 - 500,000",14.99,60c187a2e67d88c2e62da5f2,Chimeric,"Action,Indie,Early Access",2019-03-27T00:00:00.000Z, 99% 
Hand Simulator,"1,000,000 - 2,000,000",1.99,60c187a2e67d88c2e62da5f3,HFM Games,Simulation,2017-07-18T00:00:00.000Z, 78% 
Poly Bridge,"500,000 - 1,000,000",9.99,60c187a2e67d88c2e62da5f4,Dry Cactus,"Indie,Simulation",2016-07-12T00:00:00.000Z, 88% 
Counter-Strike,"10,000,000 - 20,000,000",9.99,60c187a2e67d88c2e62da5f5,Valve,Action,2000-11-01T00:00:00.000Z, 96% 
Niche - a genetics survival game,"200,000 - 500,000",17.99,60c187a2e67d88c2e62da5f6,Stray Fawn Studio,"Indie,Simulation,Strategy",2016-09-15T00:00:00.000Z, 87% 
Soundpad,"1,000,000 - 2,000,000",0,60c187a2e67d88c2e62da5f7,Leppsoft,"Audio Production,Utilities",2016-11-09T00:00:00.000Z, 93% 
Tomb Raider,"5,000,000 - 10,000,000",19.99,60c187a2e67d88c2e62da5f8,"Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Feral Interactive (Linux)","Action,Adventure",2013-03-04T00:00:00.000Z, 95% 
Little Nightmares,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da5f9,Tarsier Studios,Adventure,2017-04-27T00:00:00.000Z, 88% 
The Legend of Heroes: Trails in the Sky,"200,000 - 500,000",19.99,60c187a2e67d88c2e62da5fa,Nihon Falcom,RPG,2014-07-29T00:00:00.000Z, 91% 
圣女战旗 Banner of the Maid,"200,000 - 500,000",16.99,60c187a2e67d88c2e62da5fb,Azure Flame Studio,"Indie,RPG,Strategy",2019-05-27T00:00:00.000Z, 83% 
VEGAS Pro 14 Edit Steam Edition,"0 - 20,000",598,60c187a2e67d88c2e62da5fc,MAGIX Software GmbH,Video Production,2016-09-30T00:00:00.000Z, 77% 
The Legend of Heroes: Trails in the Sky SC,"100,000 - 200,000",29.99,60c187a2e67d88c2e62da5fd,Nihon Falcom,RPG,2015-10-29T00:00:00.000Z, 97% 
Idling to Rule the Gods,"200,000 - 500,000",0,60c187a2e67d88c2e62da5fe,Shugasu GmbH,"Casual,Indie",2016-05-27T00:00:00.000Z, 86% 
Batman: Arkham City - Game of the Year Edition,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da5ff,"Rocksteady Studios,Feral Interactive (Mac)","Action,Adventure",2012-09-07T00:00:00.000Z, 94% 
Batman: Arkham City - Game of the Year Edition,"2,000,000 - 5,000,000",19.99,60c187a2e67d88c2e62da600,"Rocksteady Studios,Feral Interactive (Mac)","Action,Adventure",2012-09-07T00:00:00.000Z, 94% 
Car Mechanic Simulator 2015,"500,000 - 1,000,000",88.94,60c187a2e67d88c2e62da601,Red Dot Games,"Racing,Simulation",2015-04-23T00:00:00.000Z, 90% 
Life is Feudal: Your Own,"200,000 - 500,000",19.99,60c187a2e67d88c2e62da602,Bitbox Ltd.,"Action,Indie,RPG,Simulation",2015-11-17T00:00:00.000Z, 64% 
The Guild II Renaissance,"200,000 - 500,000",9.99,60c187a2e67d88c2e62da603,Rune Forge,"Simulation,Strategy",2010-07-28T00:00:00.000Z, 78% 
METAL GEAR SURVIVE,"200,000 - 500,000",29.99,60c187a2e67d88c2e62da604,Konami Digital Entertainment,"Action,Adventure,Strategy",2018-02-21T00:00:00.000Z, 62% 
OMSI 2: Steam Edition,"500,000 - 1,000,000",29.99,60c187a2e67d88c2e62da605,MR-Software GbR,"Casual,Simulation",2013-12-11T00:00:00.000Z, 70% 
Tooth and Tail,"200,000 - 500,000",19.99,60c187a2e67d88c2e62da606,Pocketwatch Games,"Action,Casual,Indie,Strategy",2017-09-12T00:00:00.000Z, 81% 
CarX Drift Racing Online,"500,000 - 1,000,000",9.99,60c187a2e67d88c2e62da607,CarX Technologies,"Massively Multiplayer,Racing,Simulation,Sports",2017-11-17T00:00:00.000Z, 88% 
Orwell: Keeping an Eye On You,"1,000,000 - 2,000,000",0,60c187a2e67d88c2e62da608,Osmotic Studios,"Adventure,Indie,Simulation",2016-10-27T00:00:00.000Z, 92% 
Injustice: Gods Among Us Ultimate Edition,"1,000,000 - 2,000,000",19.99,60c187a2e67d88c2e62da609,"NetherRealm Studios,High Voltage Software",Action,2013-11-12T00:00:00.000Z, 85% 
Superflight,"200,000 - 500,000",2.99,60c187a2e67d88c2e62da60a,GrizzlyGames,"Action,Casual,Indie,Racing,Sports",2017-11-08T00:00:00.000Z, 96% 
GROUND BRANCH,"200,000 - 500,000",19.99,60c187a2e67d88c2e62da60b,BlackFoot Studios,"Action,Indie,Early Access",2018-08-14T00:00:00.000Z, 77% 
Metro Exodus,"1,000,000 - 2,000,000",24.99,60c187a2e67d88c2e62da60c,4A Games,Action,2019-02-14T00:00:00.000Z, 88% 
Discord Bot Maker,"200,000 - 500,000",9.99,60c187a2e67d88c2e62da60d,Robert Borghese,"Utilities,Web Publishing",2017-08-21T00:00:00.000Z, 81% 
Shakes and Fidget,"1,000,000 - 2,000,000",0,60c187a2e67d88c2e62da60e,Playa Games GmbH,"Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy",2016-02-24T00:00:00.000Z, 86% 
Hatred,"200,000 - 500,000",5.99,60c187a2e67d88c2e62da60f,Destructive Creations,"Action,Indie",2015-06-01T00:00:00.000Z, 77% 
天命奇御 Fate Seeker,"500,000 - 1,000,000",21.09,60c187a2e67d88c2e62da610,甲山林娛樂股份有限公司,RPG,2018-08-07T00:00:00.000Z, 91% 
Regions Of Ruin,"200,000 - 500,000",11.99,60c187a2e67d88c2e62da611,Vox Games,"Action,Adventure,Indie,RPG,Simulation,Strategy",2018-02-05T00:00:00.000Z, 86% 
Fury Unleashed,"50,000 - 100,000",14.99,60c187a2e67d88c2e62da612,Awesome Games Studio,"Action,Adventure,Indie,RPG,Early Access",2017-02-24T00:00:00.000Z, 86% 
LoveBeat,"200,000 - 500,000",0,60c187a2e67d88c2e62da613,"CRAZYDIAMOND CO., LTD.","Action,Casual,Free to Play,Massively Multiplayer",2016-01-13T00:00:00.000Z, 73% 
GUILTY GEAR XX ACCENT CORE PLUS R,"100,000 - 200,000",14.99,60c187a2e67d88c2e62da614,Arc System Works,Action,2015-05-26T00:00:00.000Z, 92% 
Grimm,"1,000,000 - 2,000,000",3.99,60c187a2e67d88c2e62da615,Spicyhorse Games,"Casual,Indie",2014-01-06T00:00:00.000Z, 90% 
Unfortunate Spacemen,"200,000 - 500,000",14.99,60c187a2e67d88c2e62da616,"Geoff 'Zag' Keene","Action,Indie,Early Access",2016-05-06T00:00:00.000Z, 77% 
Headsnatchers,"200,000 - 500,000",14.99,60c187a2e67d88c2e62da617,IguanaBee,"Action,Casual,Indie,Sports,Early Access",2018-07-24T00:00:00.000Z, 79% 
Wild West Saga: Idle Tycoon Clicker,"100,000 - 200,000",0,60c187a2e67d88c2e62da618,Tamasenco,"Casual,Free to Play,Indie,Simulation",2018-05-30T00:00:00.000Z, 67% 
Business Tour - Board Game with Online Multiplayer,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da619,Creobit,"Casual,Free to Play,Indie,Massively Multiplayer,Strategy",2017-07-27T00:00:00.000Z, 63% 
Blender,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da61a,Blender Foundation,"Animation & Modeling,Design & Illustration,Video Production",2015-07-03T00:00:00.000Z, 96% 
DOKA 2 KISHKI EDITION,"100,000 - 200,000",0.99,60c187a2e67d88c2e62da61b,Agafonoff,"Action,Adventure,Casual,Indie,RPG,Simulation",2018-11-05T00:00:00.000Z, 88% 
Shank 2,"200,000 - 500,000",9.99,60c187a2e67d88c2e62da61c,Klei Entertainment,"Action,Adventure,Indie",2012-02-07T00:00:00.000Z, 81% 
SCP: Secret Laboratory,"5,000,000 - 10,000,000",0,60c187a2e67d88c2e62da61d,Northwood Studios,"Action,Free to Play",2017-12-29T00:00:00.000Z, 84% 
VRChat,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da61e,VRChat Inc.,"Adventure,Casual,Free to Play,Massively Multiplayer,Simulation,Sports,Early Access",2017-02-01T00:00:00.000Z, 88% 
Aim Lab,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da61f,Statespace,"Action,Adventure,Casual,Free to Play,Indie,Simulation,Early Access",2018-02-07T00:00:00.000Z, 81% 
Alien Swarm: Reactive Drop,"2,000,000 - 5,000,000",0,60c187a2e67d88c2e62da620,Reactive Drop Team,"Action,Free to Play",2017-04-20T00:00:00.000Z, 93% 
Fuse,"200,000 - 500,000",0,60c187a2e67d88c2e62da621,Mixamo,"Animation & Modeling,Design & Illustration,Utilities,Video Production",2013-11-06T00:00:00.000Z, 61% 
.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,"0 - 20,000",453.42,60c187a2e67d88c2e62da622,Veslo Games,"Action,Adventure,Indie,Simulation",2018-05-03T00:00:00.000Z, 77% 
The Madness of Little Emma,"20,000 - 50,000",8.99,60c187a2e67d88c2e62da623,Bartosz Bojarowski,"Action,Indie",2015-12-21T00:00:00.000Z, 78% 
Dead6hot,"200,000 - 500,000",0.99,60c187a2e67d88c2e62da624,Chuck Productions,"Action,Casual",2016-02-01T00:00:00.000Z, 45% 
Ninja Stealth 2,"50,000 - 100,000",11.92,60c187a2e67d88c2e62da625,SC Jogos,"Action,Adventure,Indie,Strategy",2017-01-30T00:00:00.000Z, 53% 
Botology,"50,000 - 100,000",0.99,60c187a2e67d88c2e62da626,Black Lime Studio,"Action,Indie",2015-06-24T00:00:00.000Z, 29% 
"PLAYERUNKNOWN'S BATTLEGROUNDS","50,000,000 - 100,000,000",29.99,60c18a8de0731fd74dc09ff6,PUBG Corporation,"Action,Adventure,Massively Multiplayer",2017-12-21T00:00:00.000Z, 49% 
DayZ,"5,000,000 - 10,000,000",44.99,60c18a8de0731fd74dc09ff7,Bohemia Interactive,"Action,Adventure,Massively Multiplayer",2018-12-13T00:00:00.000Z, 61% 
EVE Online,"2,000,000 - 5,000,000",0,60c18a8de0731fd74dc09ff8,CCP,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",2003-05-06T00:00:00.000Z, 74% 
Devil May Cry 5,"2,000,000 - 5,000,000",59.99,60c18a8de0731fd74dc09ff9,"CAPCOM Co., Ltd.",Action,2019-03-07T00:00:00.000Z, 92% 
Human: Fall Flat,"5,000,000 - 10,000,000",14.99,60c18a8de0731fd74dc09ffa,No Brakes Games,"Adventure,Indie",2016-07-22T00:00:00.000Z, 91% 
They Are Billions,"1,000,000 - 2,000,000",29.99,60c18a8de0731fd74dc09ffb,Numantian Games,"Strategy,Early Access",2017-12-12T00:00:00.000Z, 85% 
Stonehearth,"500,000 - 1,000,000",19.99,60c18a8de0731fd74dc09ffc,Radiant Entertainment,"Indie,Simulation,Strategy",2018-07-25T00:00:00.000Z, 75% 
GOD EATER 3,"100,000 - 200,000",59.99,60c18a8de0731fd74dc09ffd,BANDAI NAMCO Studios Inc.,Action,2019-02-07T00:00:00.000Z, 77% 
"Star Wars: Battlefront 2 (Classic, 2005)","2,000,000 - 5,000,000",9.99,60c18a8de0731fd74dc09ffe,Pandemic Studios,Action,2005-11-01T00:00:00.000Z, 91% 
Battlefleet Gothic: Armada 2,"100,000 - 200,000",39.99,60c18a8de0731fd74dc09fff,Tindalos Interactive,Strategy,2019-01-24T00:00:00.000Z, 72% 
RUNNING WITH RIFLES,"1,000,000 - 2,000,000",14.99,60c18a8de0731fd74dc0a000,Osumia Games,"Action,Indie",2015-04-02T00:00:00.000Z, 87% 
"The Witcher: Enhanced Edition Director's Cut","2,000,000 - 5,000,000",9.99,60c18a8de0731fd74dc0a001,CD PROJEKT RED,"Action,RPG",2008-09-16T00:00:00.000Z, 85% 
Forts,"200,000 - 500,000",14.99,60c18a8de0731fd74dc0a002,EarthWork Games,"Action,Strategy",2017-04-19T00:00:00.000Z, 79% 
Northgard,"2,000,000 - 5,000,000",29.99,60c18a8de0731fd74dc0a003,Shiro Games,"Indie,Simulation,Strategy",2018-03-07T00:00:00.000Z, 83% 
Realm Royale,"5,000,000 - 10,000,000",0,60c18a8de0731fd74dc0a004,Heroic Leap Games,"Action,Free to Play,Early Access",2018-06-05T00:00:00.000Z, 64% 
Men of War: Assault Squad 2,"1,000,000 - 2,000,000",84.97,60c18a8de0731fd74dc0a005,Digitalmindsoft,"Action,Simulation,Strategy",2014-05-15T00:00:00.000Z, 84% 
JUMP FORCE,"200,000 - 500,000",59.99,60c18a8de0731fd74dc0a006,"Spike Chunsoft Co., Ltd.",Action,2019-02-14T00:00:00.000Z, 55% 
Ring of Elysium,"10,000,000 - 20,000,000",0,60c18a8de0731fd74dc0a007,Aurora Studio,"Action,Free to Play,Massively Multiplayer,Early Access",2018-09-19T00:00:00.000Z, 74% 
TEKKEN 7,"2,000,000 - 5,000,000",39.99,60c18a8de0731fd74dc0a008,BANDAI NAMCO Studios Inc.,"Action,Sports",2017-06-01T00:00:00.000Z, 81% 
Golf It!,"1,000,000 - 2,000,000",8.99,60c18a8de0731fd74dc0a009,Perfuse Entertainment,"Casual,Indie,Simulation,Sports,Early Access",2017-02-17T00:00:00.000Z, 80% 
Heroes & Generals,"10,000,000 - 20,000,000",0,60c18a8de0731fd74dc0a00a,RETO MOTO,"Action,Free to Play,Indie,Massively Multiplayer,Strategy",2016-10-18T00:00:00.000Z, 65% 
DRAGON BALL FighterZ,"1,000,000 - 2,000,000",59.99,60c18a8de0731fd74dc0a00b,Arc System Works,Action,2018-01-26T00:00:00.000Z, 82% 
DRAGON BALL XENOVERSE 2,"500,000 - 1,000,000",49.99,60c18a8de0731fd74dc0a00c,"QLOC,DIMPS","Action,Adventure,Casual,Massively Multiplayer",2016-10-27T00:00:00.000Z, 78% 
Frostpunk,"2,000,000 - 5,000,000",29.99,60c18a8de0731fd74dc0a00d,11 bit studios,"Simulation,Strategy",2018-04-24T00:00:00.000Z, 86% 
Fable Anniversary,"500,000 - 1,000,000",34.99,60c18a8de0731fd74dc0a00e,Lionhead Studios,RPG,2014-09-12T00:00:00.000Z, 77% 
PC Building Simulator,"1,000,000 - 2,000,000",19.99,60c18a8de0731fd74dc0a00f,"Claudiu Kiss,The Irregular Corporation","Indie,Simulation",2019-01-29T00:00:00.000Z, 88% 
DiRT Rally 2.0,"1,000,000 - 2,000,000",59.99,60c18a8de0731fd74dc0a010,Codemasters,"Racing,Simulation,Sports",2019-02-25T00:00:00.000Z, 64% 
Scrap Mechanic,"5,000,000 - 10,000,000",19.99,60c18a8de0731fd74dc0a011,Axolot Games,"Action,Adventure,Indie,Simulation,Early Access",2016-01-19T00:00:00.000Z, 84% 
Prison Architect,"2,000,000 - 5,000,000",29.99,60c18a8de0731fd74dc0a012,Introversion Software,"Indie,Simulation,Strategy",2015-10-06T00:00:00.000Z, 93% 
Bloons TD 6,"2,000,000 - 5,000,000",9.99,60c18a8de0731fd74dc0a013,Ninja Kiwi,Strategy,2018-12-17T00:00:00.000Z, 68% 
The Universim,"200,000 - 500,000",29.99,60c18a8de0731fd74dc0a014,Crytivo,"Indie,Simulation,Strategy,Early Access",2018-08-28T00:00:00.000Z, 73% 
Sniper Elite 4,"2,000,000 - 5,000,000",59.99,60c18a8de0731fd74dc0a015,Rebellion,"Action,Adventure",2017-02-13T00:00:00.000Z, 85% 
SCUM,"2,000,000 - 5,000,000",19.99,60c18a8de0731fd74dc0a016,"Gamepires,Croteam","Action,Adventure,Indie,Massively Multiplayer,Early Access",2018-08-29T00:00:00.000Z, 64% 
Golf With Your Friends,"1,000,000 - 2,000,000",5.99,60c18a8de0731fd74dc0a017,Blacklight Interactive,"Casual,Indie,Sports,Early Access",2016-01-29T00:00:00.000Z, 89% 
Company of Heroes 2,"2,000,000 - 5,000,000",19.99,60c18a8de0731fd74dc0a018,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",Strategy,2013-06-25T00:00:00.000Z, 74% 
Pummel Party,"2,000,000 - 5,000,000",14.99,60c18a8de0731fd74dc0a019,Rebuilt Games,"Action,Casual,Indie",2018-09-20T00:00:00.000Z, 82% 
The Isle,"1,000,000 - 2,000,000",19.99,60c18a8de0731fd74dc0a01a,Afterthought LLC,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Early Access",2015-12-01T00:00:00.000Z, 69% 
"Hot Dogs, Horseshoes & Hand Grenades","500,000 - 1,000,000",19.99,60c18a8de0731fd74dc0a01b,RUST LTD.,"Action,Indie,Simulation,Early Access",2016-04-05T00:00:00.000Z, 96% 
Project CARS 2,"1,000,000 - 2,000,000",59.99,60c18a8de0731fd74dc0a01c,Slightly Mad Studios,Racing,2017-09-21T00:00:00.000Z, 71% 
Euro Truck Simulator 2,"5,000,000 - 10,000,000",19.99,60c18a8de0731fd74dc0a01d,SCS Software,"Indie,Simulation",2012-10-12T00:00:00.000Z, 96% 
Killing Floor 2,"2,000,000 - 5,000,000",29.99,60c18a8de0731fd74dc0a01e,Tripwire Interactive,Action,2016-11-18T00:00:00.000Z, 89% 
Slime Rancher,"1,000,000 - 2,000,000",19.99,60c18a8de0731fd74dc0a01f,Monomi Park,"Action,Adventure,Indie,Simulation",2017-08-01T00:00:00.000Z, 96% 
Rising Storm 2: Vietnam,"1,000,000 - 2,000,000",24.99,60c18a8de0731fd74dc0a020,"Antimatter Games,Tripwire Interactive","Action,Massively Multiplayer,Simulation,Strategy",2017-05-30T00:00:00.000Z, 80% 
The Binding of Isaac: Rebirth,"2,000,000 - 5,000,000",14.99,60c18a8de0731fd74dc0a021,"Nicalis, Inc.",Action,2014-11-04T00:00:00.000Z, 97% 
ASTRONEER,"2,000,000 - 5,000,000",29.99,60c18a8de0731fd74dc0a022,System Era Softworks,"Adventure,Indie",2016-12-16T00:00:00.000Z, 84% 
Elite Dangerous,"2,000,000 - 5,000,000",29.99,60c18a8de0731fd74dc0a023,Frontier Developments,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",2015-04-02T00:00:00.000Z, 68% 
Portal 2,"10,000,000 - 20,000,000",9.99,60c18a8de0731fd74dc0a024,Valve,"Action,Adventure",2011-04-18T00:00:00.000Z, 98% 
Oxygen Not Included,"1,000,000 - 2,000,000",24.99,60c18a8de0731fd74dc0a025,Klei Entertainment,"Indie,Simulation,Early Access",2017-05-18T00:00:00.000Z, 93% 
BeamNG.drive,"2,000,000 - 5,000,000",24.99,60c18a8de0731fd74dc0a026,BeamNG,"Racing,Simulation,Early Access",2015-05-29T00:00:00.000Z, 89% 
DCS World Steam Edition,"2,000,000 - 5,000,000",0,60c18a8de0731fd74dc0a027,Eagle Dynamics SA,"Free to Play,Simulation",2013-03-18T00:00:00.000Z, 76% 
Forager,"500,000 - 1,000,000",19.99,60c18a8de0731fd74dc0a028,HopFrog,"Action,Adventure,Indie,Simulation",2019-04-18T00:00:00.000Z, 87% 
Albion Online,"1,000,000 - 2,000,000",0,60c18a8de0731fd74dc0a029,Sandbox Interactive GmbH,"Free to Play,Massively Multiplayer,RPG",2017-07-17T00:00:00.000Z, 54% 
Car Mechanic Simulator 2018,"1,000,000 - 2,000,000",19.99,60c18a8de0731fd74dc0a02a,Red Dot Games,"Racing,Simulation",2017-07-28T00:00:00.000Z, 76% 
Pavlov VR,"1,000,000 - 2,000,000",9.99,60c18a8de0731fd74dc0a02b,davevillz,"Action,Indie,Early Access",2017-02-27T00:00:00.000Z, 89% 
Left 4 Dead 2,"20,000,000 - 50,000,000",9.99,60c18a8de0731fd74dc0a02c,Valve,Action,2009-11-16T00:00:00.000Z, 96% 
Yu-Gi-Oh! Duel Links,"2,000,000 - 5,000,000",0,60c18a8de0731fd74dc0a02d,Konami Digital Entertainment,"Free to Play,Strategy",2017-11-16T00:00:00.000Z, 75% 
Wreckfest,"1,000,000 - 2,000,000",44.99,60c18a8de0731fd74dc0a02e,Bugbear,"Action,Indie,Racing,Simulation,Sports",2018-06-14T00:00:00.000Z, 77% 
"Conqueror's Blade","2,000,000 - 5,000,000",0,60c18a8de0731fd74dc0a02f,Booming Games,"Action,Free to Play,Massively Multiplayer,Strategy",2019-05-30T00:00:00.000Z, 46% 
Kenshi,"1,000,000 - 2,000,000",29.99,60c18a8de0731fd74dc0a030,Lo-Fi Games,"Action,Indie,RPG,Simulation,Strategy",2018-12-06T00:00:00.000Z, 88% 
Crossout,"2,000,000 - 5,000,000",0,60c18a8de0731fd74dc0a031,Targem Games,"Action,Free to Play,Massively Multiplayer,Racing",2017-07-26T00:00:00.000Z, 66% 
Subnautica,"2,000,000 - 5,000,000",24.99,60c18a8de0731fd74dc0a032,Unknown Worlds Entertainment,"Adventure,Indie",2018-01-23T00:00:00.000Z, 94% 
Wallpaper Engine,"10,000,000 - 20,000,000",3.99,60c18a8de0731fd74dc0a033,Kristjan Skutta,"Animation & Modeling,Design & Illustration,Utilities",2018-11-16T00:00:00.000Z, 96% 
Subnautica: Below Zero,"1,000,000 - 2,000,000",19.99,60c18a8de0731fd74dc0a034,Unknown Worlds Entertainment,"Adventure,Indie,Early Access",2019-01-30T00:00:00.000Z, 89% 
7 Days to Die,"5,000,000 - 10,000,000",24.99,60c18a8de0731fd74dc0a035,The Fun Pimps,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",2013-12-13T00:00:00.000Z, 77% 
Fallout: New Vegas,"500,000 - 1,000,000",9.99,60c18a8de0731fd74dc0a036,Obsidian Entertainment,"Action,RPG",2010-10-19T00:00:00.000Z, 95% 
Surviving Mars,"1,000,000 - 2,000,000",29.99,60c18a8de0731fd74dc0a037,Haemimont Games,"Simulation,Strategy",2018-03-15T00:00:00.000Z, 71% 
Europa Universalis IV,"2,000,000 - 5,000,000",39.99,60c18a8de0731fd74dc0a038,Paradox Development Studio,"Simulation,Strategy",2013-08-13T00:00:00.000Z, 82% 
Slay the Spire,"2,000,000 - 5,000,000",24.99,60c18a8de0731fd74dc0a039,Mega Crit Games,"Indie,Strategy",2019-01-23T00:00:00.000Z, 96% 
PAYDAY 2,"10,000,000 - 20,000,000",9.99,60c18a8de0731fd74dc0a03a,OVERKILL - a Starbreeze Studio.,"Action,RPG",2013-08-13T00:00:00.000Z, 84% 
Insurgency: Sandstorm,"1,000,000 - 2,000,000",29.99,60c18a8de0731fd74dc0a03b,New World Interactive,Action,2018-12-12T00:00:00.000Z, 75% 
Deep Rock Galactic,"2,000,000 - 5,000,000",29.99,60c18a8de0731fd74dc0a03c,Ghost Ship Games,"Action,Indie,Early Access",2018-02-28T00:00:00.000Z, 93% 
"No Man's Sky","5,000,000 - 10,000,000",59.99,60c18a8de0731fd74dc0a03d,Hello Games,"Action,Adventure",2016-08-12T00:00:00.000Z, 51% 
Tabletop Simulator,"2,000,000 - 5,000,000",19.99,60c18a8de0731fd74dc0a03e,Berserk Games,"Casual,Indie,RPG,Simulation,Strategy",2015-06-05T00:00:00.000Z, 93% 
Space Engineers,"2,000,000 - 5,000,000",19.99,60c18a8de0731fd74dc0a03f,Keen Software House,"Action,Indie,Simulation,Strategy",2019-02-28T00:00:00.000Z, 87% 
Blade and Sorcery,"1,000,000 - 2,000,000",19.99,60c18a8de0731fd74dc0a040,WarpFrog,"Action,Adventure,Indie,RPG,Simulation,Early Access",2018-12-11T00:00:00.000Z, 87% 
Raft,"5,000,000 - 10,000,000",19.99,60c18a8de0731fd74dc0a041,Redbeet Interactive,"Adventure,Indie,Simulation,Early Access",2018-05-23T00:00:00.000Z, 78% 
Factorio,"2,000,000 - 5,000,000",30,60c18a8de0731fd74dc0a042,Wube Software LTD.,"Casual,Indie,Simulation,Strategy,Early Access",2016-02-25T00:00:00.000Z, 98% 
Total War: WARHAMMER,"2,000,000 - 5,000,000",59.99,60c18a8de0731fd74dc0a043,"CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)","Action,Strategy",2016-05-24T00:00:00.000Z, 75% 
"Garry's Mod","20,000,000 - 50,000,000",9.99,60c18a8de0731fd74dc0a044,Facepunch Studios,"Indie,Simulation",2006-11-29T00:00:00.000Z, 95% 
Brawlhalla,"20,000,000 - 50,000,000",0,60c18a8de0731fd74dc0a045,Blue Mammoth Games,"Action,Free to Play,Indie",2017-10-17T00:00:00.000Z, 83% 
World of Warships,"5,000,000 - 10,000,000",0,60c18a8de0731fd74dc0a046,Wargaming Group Limited,"Action,Free to Play,Massively Multiplayer,Simulation",2017-11-15T00:00:00.000Z, 71% 
Coming Out on Top,"50,000 - 100,000",14.99,60c18a8de0731fd74dc0a047,Obscurasoft,"Casual,Indie,Simulation",2014-12-10T00:00:00.000Z, 94% 
"Don't Starve Together","10,000,000 - 20,000,000",14.99,60c18a8de0731fd74dc0a048,Klei Entertainment,"Adventure,Indie,Simulation",2016-04-21T00:00:00.000Z, 96% 
Crusader Kings II,"2,000,000 - 5,000,000",39.99,60c18a8de0731fd74dc0a049,Paradox Development Studio,"RPG,Simulation,Strategy",2012-02-14T00:00:00.000Z, 90% 
Conan Exiles,"1,000,000 - 2,000,000",39.99,60c18a8de0731fd74dc0a04a,Funcom,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",2018-05-08T00:00:00.000Z, 69% 
Barotrauma,"500,000 - 1,000,000",29.99,60c18a8de0731fd74dc0a04b,"FakeFish,Undertow Games","Action,Indie,Simulation,Strategy,Early Access",2019-06-05T00:00:00.000Z, 76% 
Kingdom Come: Deliverance,"2,000,000 - 5,000,000",29.99,60c18a8de0731fd74dc0a04c,Warhorse Studios,"Action,Adventure,RPG",2018-02-13T00:00:00.000Z, 74% 
